"x"
"nbr.val"	400
"nbr.null"	0
"nbr.na"	0
"min"	0.585183021807009
"max"	0.811865482232995
"range"	0.226682460425986
"sum"	275.237706766842
"median"	0.68705357142881
"mean"	0.688094266917105
"SE.mean"	0.00189009535389432
"CI.mean.0.95"	0.00371579004811409
"var"	0.00142898417872516
"std.dev"	0.0378019070778864
"coef.var"	0.0549371051255111
"skewness"	0.153402395063009
"skew.2SE"	0.62860281470836
"kurtosis"	-0.10673751548053
"kurt.2SE"	-0.219227689016443
"normtest.W"	0.996806408194327
"normtest.p"	0.620341985215837
