;1503.1;FlorPanc27_before;FlorPanc27_after;VatS41-13a
1503.1;0;298;297;301
FlorPanc27_before;298;0;1;29
FlorPanc27_after;297;1;0;28
VatS41-13a;301;29;28;0
;;;;
1503.1;0;298;297;301
FlorPanc27_before;298;0;1;29
FlorPanc27_after;297;1;0;28
VatS41-13a;301;29;28;0
;;;;
1503.1;0;0;0;0
FlorPanc27_before;0;0;0;0
FlorPanc27_after;0;0;0;0
VatS41-13a;0;0;0;0
