;1503.1;FlorPanc27_before;FlorPanc27_after;VatS41-13a
1503.1;0;394;393;417
FlorPanc27_before;394;0;1;88
FlorPanc27_after;393;1;0;87
VatS41-13a;417;88;87;0
;;;;
1503.1;0;394;393;417
FlorPanc27_before;394;0;1;88
FlorPanc27_after;393;1;0;87
VatS41-13a;417;88;87;0
;;;;
1503.1;0;0;0;0
FlorPanc27_before;0;0;0;0
FlorPanc27_after;0;0;0;0
VatS41-13a;0;0;0;0
