;1503.1;FlorPanc27_before;FlorPanc27_after;VatS41-13a
1503.1;0;466;465;484
FlorPanc27_before;466;0;1;103
FlorPanc27_after;465;1;0;102
VatS41-13a;484;103;102;0
;;;;
1503.1;0;466;465;484
FlorPanc27_before;466;0;1;103
FlorPanc27_after;465;1;0;102
VatS41-13a;484;103;102;0
;;;;
1503.1;0;0;0;0
FlorPanc27_before;0;0;0;0
FlorPanc27_after;0;0;0;0
VatS41-13a;0;0;0;0
