Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;0,4;1;277;278;243
randomized;45,925;108;277;278;153
randomized;44,8083333333;104;277;278;156
randomized;46,2083333333;107;277;278;152
randomized;44,250;102;277;278;155
randomized;46,050;106;277;278;156
randomized;44,325;102;277;278;152
randomized;44,65;103;277;278;153
randomized;44,200;103;277;278;150
randomized;44,6250;104;277;278;157
randomized;44,825;103;277;278;155
randomized;46,5333333333;108;277;278;154
randomized;45,0500;106;277;278;155
randomized;45,750;102;277;278;154
randomized;44,7000;105;277;278;154
randomized;43,600;98;277;278;150
randomized;45,825;106;277;278;155
randomized;43,7333333333;99;277;278;153
randomized;47,000;108;277;278;153
randomized;46,300;110;277;278;157
randomized;41,650;97;277;278;159
randomized;45,700;109;277;278;158
randomized;46,5833333333;105;277;278;150
randomized;44,6833333333;102;277;278;143
randomized;44,60;106;277;278;156
randomized;44,45;101;277;278;145
randomized;44,250;101;277;278;151
randomized;45,5500;107;277;278;155
randomized;43,0333333333;101;277;278;152
randomized;45,8166666667;105;277;278;155
randomized;42,200;96;277;278;151
randomized;45,725;108;277;278;156
randomized;44,300;103;277;278;150
randomized;46,10;108;277;278;151
randomized;45,175;101;277;278;150
randomized;46,5583333333;106;277;278;154
randomized;45,3000;105;277;278;157
randomized;47,7333333333;113;277;278;159
randomized;44,875;105;277;278;154
randomized;44,60;106;277;278;158
randomized;44,300;103;277;278;155
randomized;45,825;106;277;278;154
randomized;46,5333333333;109;277;278;161
randomized;46,1833333333;104;277;278;154
randomized;46,400;108;277;278;148
randomized;47,300;111;277;278;152
randomized;48,20;112;277;278;149
randomized;46,825;106;277;278;154
randomized;45,1333333333;104;277;278;152
randomized;46,2500;108;277;278;156
randomized;46,075;106;277;278;159
randomized;46,175;104;277;278;152
randomized;45,225;104;277;278;154
randomized;44,150;103;277;278;156
randomized;45,900;108;277;278;159
randomized;46,450;111;277;278;155
randomized;45,2583333333;108;277;278;152
randomized;44,500;103;277;278;160
randomized;46,675;109;277;278;158
randomized;47,0333333333;109;277;278;151
randomized;45,7500;108;277;278;156
randomized;46,525;108;277;278;155
randomized;44,5333333333;105;277;278;151
randomized;45,9666666666;108;277;278;154
randomized;44,925;105;277;278;155
randomized;45,2833333333;106;277;278;158
randomized;45,650;106;277;278;151
randomized;46,100;107;277;278;152
randomized;44,0833333333;103;277;278;153
randomized;44,65;105;277;278;150
