;1503.1;FlorPanc27;SGall463;VatS41-13a
1503.1;0;114;290;131
FlorPanc27;114;0;263;52
SGall463;290;263;0;288
VatS41-13a;131;52;288;0
;;;;
1503.1;0;112;290;133
FlorPanc27;112;0;265;52
SGall463;290;265;0;286
VatS41-13a;133;52;286;0
;;;;
1503.1;0;2;0;-2
FlorPanc27;2;0;-2;0
SGall463;0;-2;0;2
VatS41-13a;-2;0;2;0
