;1503.1;FlorPanc27;SGall463;VatS41-13a
1503.1;0;99;260;110
FlorPanc27;99;0;236;43
SGall463;260;236;0;245
VatS41-13a;110;43;245;0
;;;;
1503.1;0;99,5;260;109,5
FlorPanc27;99,5;0;235,5;43
SGall463;260;235,5;0;245,5
VatS41-13a;109,5;43;245,5;0
;;;;
1503.1;0;-0,5;0;0,5
FlorPanc27;-0,5;0;0,5;0
SGall463;0;0,5;0;-0,5
VatS41-13a;0,5;0;-0,5;0
