;1503.1;FlorPanc27;SGall463;VatS41-13a
1503.1;0;165;254;174
FlorPanc27;165;0;243;53
SGall463;254;243;0;247
VatS41-13a;174;53;247;0
;;;;
1503.1;0;166,25;254;172,75
FlorPanc27;166,25;0;241,75;53
SGall463;254;241,75;0;248,25
VatS41-13a;172,75;53;248,25;0
;;;;
1503.1;0;-1,25;0;1,25
FlorPanc27;-1,25;0;1,25;0
SGall463;0;1,25;0;-1,25
VatS41-13a;1,25;0;-1,25;0
