;1503.1;FlorPanc27;SGall463;VatS41-13a
1503.1;0;120;183;121
FlorPanc27;120;0;153;14
SGall463;183;153;0;156
VatS41-13a;121;14;156;0
;;;;
1503.1;0;119,5;183;121,5
FlorPanc27;119,5;0;153,5;14
SGall463;183;153,5;0;155,5
VatS41-13a;121,5;14;155,5;0
;;;;
1503.1;0;0,5;0;-0,5
FlorPanc27;0,5;0;-0,5;0
SGall463;0;-0,5;0;0,5
VatS41-13a;-0,5;0;0,5;0
