;1503.1;FlorPanc27;SGall463;VatS41-13a
1503.1;0;151;236;166
FlorPanc27;151;0;196;42
SGall463;236;196;0;209
VatS41-13a;166;42;209;0
;;;;
1503.1;0;151,5;236;165,5
FlorPanc27;151,5;0;195,5;42
SGall463;236;195,5;0;209,5
VatS41-13a;165,5;42;209,5;0
;;;;
1503.1;0;-0,5;0;0,5
FlorPanc27;-0,5;0;0,5;0
SGall463;0;0,5;0;-0,5
VatS41-13a;0,5;0;-0,5;0
