;1503.1;1508.3;FlorPanc27_aft;VatS41-13a
1503.1;0;600;317;346
1508.3;600;0;362;354
FlorPanc27_aft;317;362;0;30
VatS41-13a;346;354;30;0
;;;;
1503.1;0;600;326,25;336,75
1508.3;600;0;352,75;363,25
FlorPanc27_aft;326,25;352,75;0;30
VatS41-13a;336,75;363,25;30;0
;;;;
1503.1;0;0;-9,25;9,25
1508.3;0;0;9,25;-9,25
FlorPanc27_aft;-9,25;9,25;0;0
VatS41-13a;9,25;-9,25;0;0
