;1503.1;1508.3;FlorPanc27_aft;VatS41-13a
1503.1;0;888;465;484
1508.3;888;0;711;726
FlorPanc27_aft;465;711;0;102
VatS41-13a;484;726;102;0
;;;;
1503.1;0;888;466;483
1508.3;888;0;710;727
FlorPanc27_aft;466;710;0;102
VatS41-13a;483;727;102;0
;;;;
1503.1;0;0;-1;1
1508.3;0;0;1;-1
FlorPanc27_aft;-1;1;0;0
VatS41-13a;1;-1;0;0
