;1503.1;1508.3;FlorPanc27_aft;VatS41-13a
1503.1;0;850;297;301
1508.3;850;0;619;622
FlorPanc27_aft;297;619;0;28
VatS41-13a;301;622;28;0
;;;;
1503.1;0;850;297,25;300,75
1508.3;850;0;618,75;622,25
FlorPanc27_aft;297,25;618,75;0;28
VatS41-13a;300,75;622,25;28;0
;;;;
1503.1;0;0;-0,25;0,25
1508.3;0;0;0,25;-0,25
FlorPanc27_aft;-0,25;0,25;0;0
VatS41-13a;0,25;-0,25;0;0
