;1503.1;1508.3;FlorPanc27_aft;VatS41-13a
1503.1;0;1014;393;417
1508.3;1014;0;764;780
FlorPanc27_aft;393;764;0;87
VatS41-13a;417;780;87;0
;;;;
1503.1;0;1014;395;415
1508.3;1014;0;762;782
FlorPanc27_aft;395;762;0;87
VatS41-13a;415;782;87;0
;;;;
1503.1;0;0;-2;2
1508.3;0;0;2;-2
FlorPanc27_aft;-2;2;0;0
VatS41-13a;2;-2;0;0
