;Giunta;ModD4;Pet1505;VatS41
Giunta;0;161;47;153
ModD4;161;0;134;197
Pet1505;47;134;0;118
VatS41;153;197;118;0
;;;;
Giunta;0;163;47;151
ModD4;163;0;132;197
Pet1505;47;132;0;120
VatS41;151;197;120;0
;;;;
Giunta;0;-2;0;2
ModD4;-2;0;2;0
Pet1505;0;2;0;-2
VatS41;2;0;-2;0
