;Giunta;ModD4;Pet1505;VatS41
Giunta;0;150;23;204
ModD4;150;0;143;261
Pet1505;23;143;0;191
VatS41;204;261;191;0
;;;;
Giunta;0;151,5;23;202,5
ModD4;151,5;0;141,5;261
Pet1505;23;141,5;0;192,5
VatS41;202,5;261;192,5;0
;;;;
Giunta;0;-1,5;0;1,5
ModD4;-1,5;0;1,5;0
Pet1505;0;1,5;0;-1,5
VatS41;1,5;0;-1,5;0
