;Giunta;ModD4;Pet1505;VatS41
Giunta;0;176;50;222
ModD4;176;0;149;295
Pet1505;50;149;0;200
VatS41;222;295;200;0
;;;;
Giunta;0;174,75;50;223,25
ModD4;174,75;0;150,25;295
Pet1505;50;150,25;0;198,75
VatS41;223,25;295;198,75;0
;;;;
Giunta;0;1,25;0;-1,25
ModD4;1,25;0;-1,25;0
Pet1505;0;-1,25;0;1,25
VatS41;-1,25;0;1,25;0
