;Giunta;ModD4;Pet1505;VatS41
Giunta;0;68;38;58
ModD4;68;0;46;68
Pet1505;38;46;0;33
VatS41;58;68;33;0
;;;;
Giunta;0;68;37,5;58,5
ModD4;68;0;46,5;67,5
Pet1505;37,5;46,5;0;33
VatS41;58,5;67,5;33;0
;;;;
Giunta;0;0;0,5;-0,5
ModD4;0;0;-0,5;0,5
Pet1505;0,5;-0,5;0;0
VatS41;-0,5;0,5;0;0
