;Giunta;ModD4;Pet1505;VatS41
Giunta;0;157;44;150
ModD4;157;0;131;195
Pet1505;44;131;0;119
VatS41;150;195;119;0
;;;;
Giunta;0;158,25;44;148,75
ModD4;158,25;0;129,75;195
Pet1505;44;129,75;0;120,25
VatS41;148,75;195;120,25;0
;;;;
Giunta;0;-1,25;0;1,25
ModD4;-1,25;0;1,25;0
Pet1505;0;1,25;0;-1,25
VatS41;1,25;0;-1,25;0
