"x"
"nbr.val"	2500
"nbr.null"	0
"nbr.na"	0
"min"	111.0809523798
"max"	127.8666666651
"range"	16.7857142853
"sum"	301956.385710785
"median"	120.83630952235
"mean"	120.782554284314
"SE.mean"	0.0483370769452709
"CI.mean.0.95"	0.0947848376022018
"var"	5.84118251903259
"std.dev"	2.41685384726354
"coef.var"	0.0200099580737002
"skewness"	-0.210557041640908
"skew.2SE"	-2.15027746989193
"kurtosis"	-0.0217678371070766
"kurt.2SE"	-0.111194467655244
"normtest.W"	0.997055068690127
"normtest.p"	9.70075767936456e-05
