"x"
"nbr.val"	400
"nbr.null"	0
"nbr.na"	0
"min"	177.0083333309
"max"	223.821428569
"range"	46.8130952381
"sum"	79587.1833324475
"median"	198.9976190454
"mean"	198.967958331119
"SE.mean"	0.360539905754275
"CI.mean.0.95"	0.708795241991072
"var"	51.9956094565207
"std.dev"	7.2107981150855
"coef.var"	0.0362410016947826
"skewness"	-0.0420223961189124
"skew.2SE"	-0.172196767008025
"kurtosis"	-0.00249304042667564
"kurt.2SE"	-0.00512044419344167
"normtest.W"	0.997619165775661
"normtest.p"	0.842603356512987
