"x"
"nbr.val"	2500
"nbr.null"	0
"nbr.na"	0
"min"	41.2666666662
"max"	67.4714285706
"range"	26.2047619044
"sum"	141703.723807824
"median"	56.88333333265
"mean"	56.6814895231296
"SE.mean"	0.0786350733346054
"CI.mean.0.95"	0.154196594558187
"var"	15.4586868958469
"std.dev"	3.93175366673027
"coef.var"	0.0693657435577071
"skewness"	-0.241619630589636
"skew.2SE"	-2.46749880170982
"kurtosis"	-0.0212985155628895
"kurt.2SE"	-0.108797079296983
"normtest.W"	0.996062379553093
"normtest.p"	3.88227300614867e-06
