"x"
"nbr.val"	2500
"nbr.null"	0
"nbr.na"	0
"min"	91.4583333332
"max"	103.4083333334
"range"	11.9500000002
"sum"	245609.994444331
"median"	98.3124999999
"mean"	98.2439977777322
"SE.mean"	0.0341467356720196
"CI.mean.0.95"	0.0669588026388581
"var"	2.91499889263695
"std.dev"	1.70733678360098
"coef.var"	0.0173785353021125
"skewness"	-0.250735871024078
"skew.2SE"	-2.56059683473466
"kurtosis"	0.0117401019383374
"kurt.2SE"	0.0599707898782158
"normtest.W"	0.996112979455041
"normtest.p"	4.53128596563069e-06
