"x"
"nbr.val"	2500
"nbr.null"	0
"nbr.na"	0
"min"	0.27
"max"	0.362376237623762
"range"	0.0923762376237623
"sum"	792.363022703661
"median"	0.316823899370755
"mean"	0.316945209081465
"SE.mean"	0.000225032444559864
"CI.mean.0.95"	0.000441269209079057
"var"	0.000126599002761471
"std.dev"	0.0112516222279932
"coef.var"	0.0355002123572128
"skewness"	0.0882489496811391
"skew.2SE"	0.901227177025995
"kurtosis"	0.184409699925527
"kurt.2SE"	0.942001647330224
"normtest.W"	0.998976374004748
"normtest.p"	0.154587115668976
