"x"
"nbr.val"	400
"nbr.null"	0
"nbr.na"	0
"min"	0.741374837872374
"max"	0.837484276729057
"range"	0.0961094388566831
"sum"	317.915810110663
"median"	0.794412678140728
"mean"	0.794789525276658
"SE.mean"	0.000824291255133068
"CI.mean.0.95"	0.00162049667825498
"var"	0.000271782429315539
"std.dev"	0.0164858251026614
"coef.var"	0.0207423784264429
"skewness"	-0.0299331451740231
"skew.2SE"	-0.12265818471567
"kurtosis"	-0.346729717246618
"kurt.2SE"	-0.712146561432438
"normtest.W"	0.996310311906374
"normtest.p"	0.4851609479274
