"x"
"nbr.val"	1600
"nbr.null"	0
"nbr.na"	0
"min"	0.227768941583806
"max"	0.303803059684615
"range"	0.0760341181008097
"sum"	422.560260670006
"median"	0.263879669394349
"mean"	0.264100162918754
"SE.mean"	0.00030443224357001
"CI.mean.0.95"	0.000597128224080873
"var"	0.000148286385480112
"std.dev"	0.0121772897428004
"coef.var"	0.0461086036760475
"skewness"	0.121081865717266
"skew.2SE"	0.98955531283141
"kurtosis"	-0.0814111220669202
"kurt.2SE"	-0.332877770511885
"normtest.W"	0.998270743042478
"normtest.p"	0.0968898312496067
