"x"
"nbr.val"	1600
"nbr.null"	0
"nbr.na"	0
"min"	0.436718051831903
"max"	0.530172413793103
"range"	0.0934543619611999
"sum"	772.294093806379
"median"	0.482380443638122
"mean"	0.482683808628987
"SE.mean"	0.000363731777427975
"CI.mean.0.95"	0.000713441216838118
"var"	0.000211681289457463
"std.dev"	0.014549271097119
"coef.var"	0.0301424469539277
"skewness"	0.0376377371472175
"skew.2SE"	0.307598685702033
"kurtosis"	-0.0930657547230109
"kurt.2SE"	-0.380531801511549
"normtest.W"	0.999281646917911
"normtest.p"	0.820341875813385
