"sample.size";"set";"params";"example";"reldist.mean";"reldist.median";"reldist.var";"reldist.std";"reldist.kurt";"reldist.skew";"reldist.norm";"dist.mean";"dist.median";"dist.var";"dist.std";"dist.kurt";"dist.skew";"dist.norm"
400;NA;NA;3;0,277396127679985;0,277113479244141;2,60378918316894e-05;0,00510273376061199;-0,35293466987864;-0,107270288826072;0,744996456915486;144,680187499967;144,69375;3,9650496027511;1,99124323043447;0,761723927148306;-1,08911772841703;0,0855116076594137
400;NA;NA;3;0,258659695911977;0,258983335096748;4,61523595349735e-05;0,00679355279179999;0,445763290577755;-0,105763860472258;0,670205655326288;121,248714284307;121,30357142725;6,91223258470453;2,62911250894756;0,00350708524152855;-0,367095568982941;0,563105993469911
400;NA;NA;3;0,291849881685801;0,292275393063133;3,52512250707816e-05;0,00593727421219381;0,242839848437128;-0,199054783420906;0,655814694920746;128,141552083305;128,0875;4,00002718157789;2,00000679538293;-0,184363357572157;-0,318044454434871;0,773257115720021
400;NA;NA;4;0,794789525276658;0,794412678140728;0,000271782429315539;0,0164858251026614;-0,712146561432438;-0,12265818471567;0,4851609479274;207,512999999879;207,3333333332;28,2536651628939;5,31541768470681;-0,707684088131673;-0,102932000293114;0,569405868828014
400;NA;NA;4;0,845001830330477;0,845143667472627;0,0013023024748366;0,0360874282103421;0,837780385399826;-1,17231416666393;0,0757802847690259;237,002482638869;237,0729166667;65,2202956123326;8,07590834595915;0,209444645880258;-1,04330426897861;0,0961618806755474
400;NA;NA;4;0,696023069637424;0,695930851740666;0,00109125440130681;0,0330341399359331;0,38252102452122;-0,768513063333769;0,216622085316507;192,234479661876;192,497619047;59,0042402642733;7,68142176060352;-0,0403080517864371;-0,56947435371007;0,707628156760029
400;NA;NA;4;0,62786614945211;0,626840223693164;0,000711708440756336;0,026677864246531;-0,544190748465021;0,160736419326976;0,720997212898728;133,222413194427;133,125;13,5294242910283;3,67823657355373;-0,6214383323622;-0,18457315933281;0,490639687683198
400;NA;NA;4;0,312604320105339;0,312656283974322;2,53577093176024e-05;0,00503564388311985;0,243081967591076;-0,780942514510232;0,12399076006329;90,798749999905;90,93333333325;1,76348214285874;1,32796164961897;0,383996495691803;-1,1283821334912;0,104108538241474
400;NA;NA;4;0,291274609339726;0,291483848314604;4,18107914696083e-05;0,00646612646563677;-0,0715873175681513;-0,540713921904358;0,658850229854959;103,674208333283;103,64374999995;3,48283742749804;1,86623616605671;-0,170552032317205;-0,649882096880415;0,487349869250922
400;NA;NA;4;0,318530997272632;0,318973983572914;0,000145383333104868;0,0120575011136167;-0,316778488605849;-0,649099366291786;0,389851032770809;101,197873015572;101,36855158695;7,12959035566765;2,67012927695789;-0,592918916820113;-1,20858088464504;0,00639044645218503
400;NA;NA;4;0,311895291203964;0,312891742385764;6,8049664945388e-05;0,00824922208122608;-0,479146836401831;-1,12279797658204;0,00708022960637207;88,34937499995;88,3479166666;3,11514520774379;1,76497739581667;-0,60011161265374;-1,01364546729386;0,0324950122615342
400;NA;NA;5;0,625290627269875;0,630175438593684;0,000543252113871857;0,0233077693885935;3,28898958021507;-4,26549596132045;3,27533966170162e-12;59,2841666664248;59,8666666664;6,09803884707081;2,46942075132425;3,49121845360759;-4,59162838056592;1,21801317962135e-13
400;NA;NA;5;0,776364028421769;0,774509803921569;0,00174670007055476;0,041793541014788;0,380423905730761;0,640397794593743;0,518127655993405;78,4510416666602;78,5;14,7459175281944;3,8400413445944;0,487835065699412;0,184461651499358;0,74354520052585
400;NA;NA;5;0,559572128769191;0,560095238088;0,00158885945381218;0,0398604999192457;0,1105732806135;0,180636203680657;0,832197888909776;55,9252023802765;55,93452380885;14,267604656451;3,77724829160739;-0,053225250493923;-0,228798553232639;0,962065149523677
400;NA;NA;5;0,620478148231807;0,619719605534295;0,0010732076105059;0,032759847534839;0,195239418932075;0,168366362648669;0,799171375396184;50,931979166661;51;4,69732916275437;2,16733226865526;-0,134126722123641;-0,658525130495386;0,458863652823323
