Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;4,05;10;86;82;89
randomized;39,40;97;86;82;133
randomized;39,5666666666;101;86;82;134
randomized;38,90;98;86;82;135
randomized;41,1500;103;86;82;140
randomized;40,90;105;86;82;141
randomized;36,800;92;86;82;137
randomized;39,45;98;86;82;132
randomized;40,1333333333;102;86;82;140
randomized;39,4250;98;86;82;136
randomized;39,55;101;86;82;140
randomized;40,150;105;86;82;141
randomized;37,6250;94;86;82;137
randomized;40,15;102;86;82;142
randomized;36,650;92;86;82;137
randomized;39,00;100;86;82;139
randomized;39,6333333333;101;86;82;142
randomized;38,40;97;86;82;139
randomized;40,25;105;86;82;140
randomized;40,00;101;86;82;132
randomized;39,85;99;86;82;130
randomized;38,2333333333;96;86;82;137
randomized;39,7333333333;101;86;82;135
randomized;39,95;99;86;82;135
randomized;39,55;97;86;82;131
randomized;39,95;101;86;82;143
randomized;38,65;100;86;82;141
randomized;39,300;102;86;82;139
randomized;38,7833333333;97;86;82;136
randomized;40,75;103;86;82;146
randomized;38,975;98;86;82;137
randomized;38,25;96;86;82;134
randomized;37,8333333333;96;86;82;137
randomized;38,7000;97;86;82;134
randomized;40,35;99;86;82;129
randomized;39,25;98;86;82;137
randomized;39,55;97;86;82;129
randomized;40,10;100;86;82;132
randomized;39,450;98;86;82;135
randomized;40,4333333333;103;86;82;133
randomized;39,10;97;86;82;137
randomized;38,70;97;86;82;130
randomized;39,5333333333;99;86;82;132
randomized;38,95;98;86;82;138
randomized;39,1333333333;99;86;82;140
randomized;39,15;98;86;82;136
randomized;39,6333333333;100;86;82;134
randomized;38,30;96;86;82;132
randomized;38,300;97;86;82;142
randomized;39,200;98;86;82;136
randomized;40,65;102;86;82;139
randomized;39,4166666666;102;86;82;144
randomized;39,300;98;86;82;136
randomized;39,85;100;86;82;143
randomized;40,1333333333;102;86;82;136
randomized;40,15;102;86;82;136
randomized;39,275;100;86;82;139
randomized;37,30;96;86;82;135
randomized;38,15;97;86;82;134
randomized;39,10;96;86;82;130
randomized;38,7333333333;95;86;82;135
randomized;39,8333333333;101;86;82;138
randomized;37,9833333333;96;86;82;140
randomized;40,25;100;86;82;129
randomized;38,2500;95;86;82;133
randomized;40,15;99;86;82;130
randomized;38,80;100;86;82;141
randomized;37,8833333333;96;86;82;138
randomized;40,15;100;86;82;134
randomized;37,60;94;86;82;131
randomized;40,20;101;86;82;134
randomized;38,2333333333;96;86;82;140
randomized;38,60;98;86;82;135
randomized;39,2583333333;99;86;82;137
randomized;38,25;99;86;82;140
randomized;39,15;98;86;82;140
randomized;39,65;99;86;82;133
randomized;38,65;96;86;82;136
randomized;38,750;99;86;82;138
randomized;40,00;102;86;82;142
randomized;38,40;97;86;82;140
randomized;38,8333333333;97;86;82;132
