Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;192,1041666667;163;218;170;274
randomized;230,3750;195;218;170;250
randomized;220,750;185;218;170;267
randomized;234,9791666667;197;218;170;260
randomized;233,9583333334;186;218;170;269
randomized;232,25;191;218;170;258
randomized;235,8333333333;195;218;170;264
randomized;230,5833333333;185;218;170;272
randomized;234,5833333333;191;218;170;273
randomized;222,7083333333;188;218;170;256
randomized;231,3125;186;218;170;277
randomized;219,6250000000;177;218;170;266
randomized;219,7083333333;179;218;170;269
randomized;236,6875;193;218;170;266
randomized;236,4166666667;190;218;170;279
randomized;219,6250000000;187;218;170;257
randomized;235,8333333334;194;218;170;268
randomized;238,0416666666;180;218;170;280
randomized;236,3125;188;218;170;274
randomized;240,375;192;218;170;278
randomized;233,750;193;218;170;264
randomized;227,1250;187;218;170;269
randomized;229,3125;177;218;170;292
randomized;237,125;191;218;170;262
randomized;228,6458333334;191;218;170;262
randomized;230,8333333333;187;218;170;269
randomized;232,06250;187;218;170;269
randomized;224,25;188;218;170;258
randomized;227,1041666667;189;218;170;263
randomized;224,3333333333;180;218;170;273
randomized;222,1875;186;218;170;263
randomized;214,9166666667;182;218;170;261
randomized;226,9583333333;189;218;170;263
randomized;234,1666666667;192;218;170;264
randomized;231,4583333333;190;218;170;272
randomized;236,4166666667;194;218;170;267
randomized;235,125;191;218;170;269
randomized;236,2500;192;218;170;266
randomized;237,2083333333;191;218;170;259
randomized;233,43750;193;218;170;255
randomized;221,3333333333;185;218;170;259
randomized;215,750;179;218;170;263
randomized;225,5000000000;180;218;170;274
randomized;223,6875;181;218;170;274
randomized;223,3541666667;188;218;170;268
randomized;231,5;191;218;170;262
randomized;231,0000;192;218;170;260
randomized;218,4166666667;175;218;170;283
randomized;230,2083333333;193;218;170;255
randomized;226,0833333333;181;218;170;268
randomized;219,2083333333;184;218;170;263
randomized;228,2083333333;186;218;170;269
randomized;223,8750000000;187;218;170;261
randomized;222,5000000000;189;218;170;259
randomized;230,7500000000;190;218;170;265
randomized;230,5416666666;192;218;170;266
randomized;222,4583333334;191;218;170;262
randomized;217,2500;185;218;170;261
randomized;220,7500000000;187;218;170;258
randomized;234,5416666667;189;218;170;270
randomized;227,750;180;218;170;273
randomized;223,2083333333;188;218;170;264
randomized;234,8125000000;185;218;170;270
randomized;222,7916666666;189;218;170;259
randomized;224,1250000000;181;218;170;271
randomized;228,75;186;218;170;261
randomized;237,0833333333;196;218;170;266
randomized;218,5833333333;186;218;170;268
randomized;233,125;184;218;170;271
randomized;223,6875000000;186;218;170;260
randomized;233,0416666666;183;218;170;275
randomized;238,7083333333;202;218;170;250
randomized;222,2708333333;186;218;170;254
randomized;229,3333333333;194;218;170;252
randomized;230,9166666666;195;218;170;256
randomized;230,5000000000;195;218;170;250
randomized;236,7916666667;194;218;170;255
randomized;235,250;197;218;170;249
randomized;228,0000000000;184;218;170;266
randomized;229,000;185;218;170;260
randomized;233,0833333333;191;218;170;269
randomized;231,000;190;218;170;244
randomized;232,00;189;218;170;259
randomized;230,5;190;218;170;260
randomized;233,6875;191;218;170;258
randomized;235,0833333333;193;218;170;252
randomized;227,3541666666;182;218;170;281
randomized;226,2083333333;184;218;170;263
randomized;225,0000;192;218;170;263
randomized;220,5833333333;181;218;170;276
randomized;224,8333333333;183;218;170;277
randomized;222,6666666667;185;218;170;264
randomized;230,3958333333;184;218;170;276
randomized;230,5833333333;187;218;170;269
randomized;230,4166666667;187;218;170;266
randomized;229,8333333333;190;218;170;263
randomized;229,9583333333;188;218;170;267
randomized;227,1875;186;218;170;263
randomized;219,4791666667;180;218;170;267
randomized;228,0416666667;185;218;170;270
randomized;231,3333333334;189;218;170;267
randomized;228,5833333333;185;218;170;276
randomized;226,0833333333;190;218;170;263
randomized;225,9791666666;179;218;170;280
randomized;229,7916666667;199;218;170;242
randomized;222,1666666666;182;218;170;269
randomized;227,4166666667;188;218;170;267
randomized;228,125;186;218;170;266
randomized;223,4166666667;190;218;170;257
randomized;236,0416666666;192;218;170;265
randomized;227,4583333333;185;218;170;269
randomized;221,3333333333;183;218;170;267
randomized;221,0000000000;179;218;170;273
randomized;229,5000;187;218;170;269
randomized;221,0;186;218;170;260
randomized;220,4166666666;184;218;170;263
randomized;220,5;190;218;170;251
randomized;224,0833333334;184;218;170;264
