Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;50,25;141;176;205;267
randomized;81,3111111111;212;176;205;290
randomized;81,8416666667;209;176;205;294
randomized;78,2361111110;198;176;205;289
randomized;79,2833333333;203;176;205;288
randomized;82,3916666666;211;176;205;291
randomized;80,1833333333;203;176;205;288
randomized;80,5166666666;202;176;205;273
randomized;81,6166666666;211;176;205;286
randomized;80,4333333333;206;176;205;284
randomized;81,4583333333;209;176;205;289
randomized;80,8250000000;208;176;205;296
randomized;82,5166666666;211;176;205;289
randomized;78,9583333333;204;176;205;294
randomized;82,0166666666;208;176;205;293
randomized;82,1833333333;212;176;205;294
randomized;82,2416666667;215;176;205;295
randomized;81,3500000000;206;176;205;286
randomized;78,7666666666;203;176;205;280
randomized;81,6166666667;208;176;205;280
randomized;80,1583333333;206;176;205;282
randomized;81,6083333333;210;176;205;289
randomized;82,40;207;176;205;280
randomized;82,5333333332;216;176;205;292
randomized;83,3249999999;215;176;205;281
randomized;82,825;213;176;205;286
randomized;81,70;209;176;205;285
randomized;81,8166666666;216;176;205;302
randomized;82,8083333333;213;176;205;285
randomized;82,2791666666;211;176;205;299
randomized;82,3833333333;211;176;205;294
randomized;78,700;199;176;205;283
randomized;81,825;212;176;205;286
randomized;81,9833333333;209;176;205;274
randomized;82,2916666667;211;176;205;282
randomized;79,6916666667;208;176;205;292
randomized;81,6166666666;211;176;205;285
randomized;81,7750000000;208;176;205;291
randomized;80,2666666667;202;176;205;288
randomized;83,2777777778;215;176;205;290
randomized;83,7111111111;220;176;205;292
randomized;81,1500000000;209;176;205;290
randomized;82,5000000000;214;176;205;288
randomized;80,4833333333;208;176;205;300
randomized;83,9750000000;218;176;205;295
randomized;79,1500000000;200;176;205;286
randomized;81,2333333333;202;176;205;286
randomized;79,4333333333;200;176;205;283
randomized;79,9250000000;205;176;205;298
randomized;80,9833333333;211;176;205;294
randomized;81,7833333333;215;176;205;300
randomized;80,8333333333;206;176;205;287
randomized;81,6902777778;212;176;205;296
randomized;78,6583333333;200;176;205;292
randomized;79,6833333333;202;176;205;284
randomized;80,8416666666;208;176;205;289
randomized;80,3833333333;207;176;205;289
randomized;81,7250000000;205;176;205;277
randomized;83,0583333334;212;176;205;281
randomized;80,3000000000;208;176;205;287
randomized;80,2666666667;213;176;205;303
randomized;83,3166666666;212;176;205;283
randomized;83,0708333333;213;176;205;300
randomized;81,3083333333;212;176;205;299
randomized;81,0000000000;209;176;205;290
randomized;82,2083333333;214;176;205;294
randomized;81,4833333332;209;176;205;295
randomized;80,4416666667;207;176;205;285
randomized;78,5500000000;201;176;205;287
randomized;81,7750000000;208;176;205;292
randomized;80,8833333332;208;176;205;299
randomized;80,6833333333;207;176;205;295
randomized;77,5416666666;196;176;205;281
randomized;82,0583333333;213;176;205;300
randomized;80,4666666666;205;176;205;283
randomized;82,275;212;176;205;290
randomized;81,3250000000;205;176;205;284
randomized;80,2722222222;210;176;205;297
randomized;78,8166666666;202;176;205;289
randomized;82,1416666666;208;176;205;288
randomized;79,4583333333;205;176;205;294
randomized;79,5416666666;202;176;205;285
randomized;79,6750000000;207;176;205;296
randomized;78,4749999999;197;176;205;286
randomized;78,2083333333;193;176;205;279
randomized;79,4083333333;208;176;205;298
randomized;81,0583333334;204;176;205;288
randomized;81,1916666666;209;176;205;292
randomized;80,4500000000;208;176;205;290
randomized;78,9916666667;200;176;205;288
randomized;77,5333333333;198;176;205;283
randomized;81,1722222222;210;176;205;294
randomized;81,1916666667;209;176;205;292
randomized;80,3750000000;206;176;205;293
randomized;80,3833333333;205;176;205;288
