Group;Case;Signbased.all;Signbased.all.gap;Signbased.log;Signbased.log.gap;Signbased.vis;Signbased.vis.gap;Superlogical;Superlogical.gap;withoutSB.all;withoutSB.all.gap;withoutSB.log;withoutSB.log.gap;withoutSB.vis;withoutSB.vis.gap
5;60;-5,858259825;-4,363877385;-6,853242612;-3,239412644;-17,96564317;-5,252377305;-4,607533932;-2,79567901;-4,281205874;-3,71147946;-6,110378572;-3,39727432;-10,90265095;-3,625424779
7;61;-3,119462404;-6,906855568;-3,995457908;1,24803974;29,08196605;0,944463379;0,408179761;2,688402321;-3,043645288;-7,037696883;-3,156603444;0,833362082;36,37037038;1,523995123
7;62;1,205831315;-2,669090756;-1,189349065;1,234159867;21,57900275;3,211402858;-0,344024177;1,128398794;2,469710705;-2,146966786;0,811444133;0,978776891;32,95833276;3,54252313
7;63;-5,126842156;-8,721301873;-4,18136919;-0,604647786;26,60122672;0,525144547;-2,145343014;1,344204288;-4,587170808;-8,848111859;-4,371407281;-0,38605476;31,74168356;0,686685698
7;64;-1,279569362;-5,004838315;-0,840961471;-1,03058354;0,215102528;-0,514612561;-1,174324285;-0,810247412;-1,564548669;-5,484676535;-0,873027474;-1,176569898;-0,079599657;-0,381067845
7;65;-2,984424669;-0,241455225;-3,920715774;0,882379085;-8,908018119;-3,101188042;-3,54645552;0,383599514;-3,18977255;-0,678050282;-3,842614761;0,8830366;-8,641724351;-2,410038856
7;66;-7,0956648;-4,613638635;-9,451656732;-1,260087786;-8,943407251;-2,198696589;-7,604631659;-2,204457434;-5,345248055;-4,038908356;-8,264276817;-1,040937273;-3,606016615;-0,754574259
7;67;-5,785769409;-1,904203908;-6,222010019;-0,100257854;-16,70313483;-5,321852647;-3,628713901;-0,769488315;-6,276558541;-2,311146315;-6,454253862;-0,168852142;-19,50202118;-5,56883439
7;68;-10,64400381;-8,041497211;-11,26351376;-1,461577569;-14,07720156;-4,211368997;-9,493315342;-2,555257531;-11,39723445;-8,372595503;-11,52810243;-1,560995794;-13,40712481;-4,123013796
7;69;-4,351370277;-3,143274279;-5,402818433;-0,157415677;-8,345026307;-2,652456971;-5,311597313;-1,346021129;-4,234525767;-3,081046418;-5,291418863;-0,225917321;-7,052184469;-2,15683127
7;70;-6,683181703;-5,375221226;-7,36536652;-0,111761708;-7,843290204;-0,733393376;-6,609175138;-0,703765062;-7,199871256;-5,711261475;-7,56987833;-0,116051768;-7,236674122;-0,453138173
