"Group";"Set";"P";"W";"R";"mdOrig";"mdRand"
"5";"Superlogical.gap";2,02736328450432e-05;27715;-0,0269489529897894;0,0317865105908584;0,291666666666463
"6";"Superlogical.gap";4,35049926540055e-08;0;-0,0346263345943304;0,00344420853974994;0,291666666666453
"7";"Superlogical.gap";4,35049935597187e-08;0;-0,034626334571023;0,00390117694805195;0,274321589943799
"1";"withoutSB.all";0,856028874366261;129142;-0,00114724430475672;0,511448097756151;0,532062877597559
"2";"withoutSB.all";5,56034582196581e-07;10731;-0,0316537210765594;0,285904598542196;0,510125928655358
"3";"withoutSB.all";0,39713661672487;144329;-0,00535422227319551;0,60292021065654;0,490162341169986
"4";"withoutSB.all";0,000810324135443437;48547;-0,0211782434408031;0,478077242523273;0,631156172694476
"5";"withoutSB.all";4,27831832520401e-06;20056;-0,0290705861875867;0,134152585764785;0,573736228019516
"6";"withoutSB.all";4,35049949959577e-08;0;-0,0346263345340631;0,0032731397132877;0,51259587612962
"7";"withoutSB.all";4,3504995004731e-08;0;-0,0346263345338374;0,0092627838317253;0,400045415890043
"1";"withoutSB.all.gap";7,094249699903e-06;22488;-0,0283968935283538;0,213415777966905;0,262813303096103
"2";"withoutSB.all.gap";1,01591841357212e-07;3473;-0,0336642726073276;0,203280704907499;0,258075664948378
"3";"withoutSB.all.gap";8,06533486562505e-05;35006;-0,0249292600123036;0,193638971716921;0,243355252278965
"4";"withoutSB.all.gap";4,35049949956995e-08;0;-0,0346263345340698;0,188330853176756;0,308698478632016
"5";"withoutSB.all.gap";5,8667386587048e-08;1214;-0,0342900422279912;0,0557542336365814;0,274678629255832
"6";"withoutSB.all.gap";4,35049949809914e-08;0;-0,0346263345344483;0,0032731397132877;0,247152309188943
"7";"withoutSB.all.gap";4,35049949954415e-08;0;-0,0346263345340764;0,00478599068148902;0,222479064191072
"1";"withoutSB.log";0,802915930784044;119302,5;-0,00157813614231413;0,624765264762755;0,674377954306723
"2";"withoutSB.log";3,67842072880927e-06;19339,5;-0,0292690656974226;0,427932931196562;0,668498353162518
"3";"withoutSB.log";0,32944343874233;147262;-0,00616669788097634;0,74189131885283;0,634046052631579
"4";"withoutSB.log";3,19479813725408e-06;18675;-0,0294531399880822;0,569580103359109;0,774653875634761
"5";"withoutSB.log";4,35266921931997e-06;20138;-0,0290478714852755;0,143063204825597;0,736421186570042
"6";"withoutSB.log";4,35049900243412e-08;0;-0,0346263346620015;0,00548574643660915;0,670107179751595
"7";"withoutSB.log";4,35049925340177e-08;0;-0,0346263345974181;0,0101582980439605;0,527616335669782
"1";"withoutSB.log.gap";0,279994665134061;149661;-0,00683124911744324;0,279313439830406;0,276388888888889
"2";"withoutSB.log.gap";3,00193617256648e-05;220264;-0,026389112202562;0,316268939393939;0,275436205534883
"3";"withoutSB.log.gap";3,17379596666092e-06;18644;-0,0294617268923055;0,242213114754098;0,272458628841135
"4";"withoutSB.log.gap";6,62544228630323e-08;1711;-0,0341523674628885;0,163801602617889;0,285567010309536
"5";"withoutSB.log.gap";1,2653666475386e-06;14401;-0,0306370878986673;0,046157064307913;0,277737226277372
"6";"withoutSB.log.gap";4,35049936905438e-08;0;-0,0346263345676563;0,00316289008149473;0,275166052241648
"7";"withoutSB.log.gap";4,35049939013608e-08;0;-0,0346263345622312;0,00342581961984947;0,261298371253389
"1";"withoutSB.vis";5,41432099422947e-06;228818;-0,0287586933949009;1,19660496939349;0,672176308538843
"2";"withoutSB.vis";0,120553948045647;160438;-0,00981660969872357;0,727543695380074;0,617656012174201
"3";"withoutSB.vis";0,0337200103868069;173471;-0,0134269010989232;0,925373876654276;0,64611293197631
"4";"withoutSB.vis";5,89405447229266e-05;216696;-0,0254007395076933;0,867439899129244;0,69071859977761
"5";"withoutSB.vis";0,00025314643298905;41475;-0,0231372724791567;0,187125603863859;0,656842105263158
"6";"withoutSB.vis";4,3504246800199e-08;0;-0,0346263537881093;0,00238809702435296;0,671794871794872
"7";"withoutSB.vis";4,35048051144614e-08;0;-0,0346263394204372;0,0131327214282948;0,587845303867403
"1";"withoutSB.vis.gap";0,194689232835703;154603;-0,00820024151937142;0,307405611246738;0,306395348837209
"2";"withoutSB.vis.gap";0,67848249191651;115537;-0,00262122403592606;0,294019654243979;0,296638655462185
"3";"withoutSB.vis.gap";0,0456854796305461;79385;-0,012635754124766;0,298640673806151;0,303039215685882
"4";"withoutSB.vis.gap";0,0026474106549849;56383;-0,0190075791956222;0,186938394191757;0,311267605632981
"5";"withoutSB.vis.gap";2,75994688306481e-05;29300;-0,0265098893887774;0,0636843255522659;0,304920634918571
"6";"withoutSB.vis.gap";4,35049685346908e-08;0;-0,0346263352150111;0,00238809702435296;0,303057199210651
"7";"withoutSB.vis.gap";4,35049698770033e-08;0;-0,0346263351804683;0,00445463293145412;0,288888888888889
