;Giunta;ModD4;Pet1505;Pet1515;Pet1519;VatS41-13
Giunta;0;76;6;8;11;289
ModD4;76;0;76;78;81;277
Pet1505;6;76;0;2;5;290
Pet1515;8;78;2;0;7;290
Pet1519;11;81;5;7;0;297
VatS41-13;289;277;290;290;297;0
;;;;;;
Giunta;0;75,625;6,125;7,5;11,375;289,375
ModD4;75,625;0;76,25;77,625;81,5;277
Pet1505;6,125;76,25;0;1,875;5;290
Pet1515;7,5;77,625;1,875;0;7,125;291,375
Pet1519;11,375;81,5;5;7,125;0;295,25
VatS41-13;289,375;277;290;291,375;295,25;0
