;Giunta;ModD4;Pet1505;Pet1515;Pet1519;VatS41-13
Giunta;0;85;8;10;12;309
ModD4;85;0;83;85;87;296
Pet1505;8;83;0;2;4;310
Pet1515;10;85;2;0;6;310
Pet1519;12;87;4;6;0;314
VatS41-13;309;296;310;310;314;0
;;;;;;
Giunta;0;84,125;8,16667;9,66667;12,16667;309,875
ModD4;84,125;0;83,45833;84,95833;87,45833;296
Pet1505;8,16667;83,45833;0;2;4;309,20833
Pet1515;9,66667;84,95833;2;0;6;310,70833
Pet1519;12,16667;87,45833;4;6;0;313,20833
VatS41-13;309,875;296;309,20833;310,70833;313,20833;0
