;Giunta;ModD4;Pet1505;Pet1515;Pet1519;VatS41-13
Giunta;0;28;5;7;6;213
ModD4;28;0;29;31;30;195
Pet1505;5;29;0;2;1;214
Pet1515;7;31;2;0;3;214
Pet1519;6;30;1;3;0;215
VatS41-13;213;195;214;214;215;0
;;;;;;
Giunta;0;28,25;5,16667;6,66667;6,16667;212,75
ModD4;28,25;0;29,08333;30,58333;30,08333;195
Pet1505;5,16667;29,08333;0;2;1;213,58333
Pet1515;6,66667;30,58333;2;0;3;215,08333
Pet1519;6,16667;30,08333;1;3;0;214,58333
VatS41-13;212,75;195;213,58333;215,08333;214,58333;0
