;Giunta;ModD4;Pet1505;Pet1515;Pet1519;VatS41-13
Giunta;0;77;6;8;11;273
ModD4;77;0;77;79;82;258
Pet1505;6;77;0;2;5;273
Pet1515;8;79;2;0;7;273
Pet1519;11;82;5;7;0;278
VatS41-13;273;258;273;273;278;0
;;;;;;
Giunta;0;77,25;6,16667;7,66667;11,16667;272,75
ModD4;77,25;0;77,08333;78,58333;82,08333;258
Pet1505;6,16667;77,08333;0;2;5;272,58333
Pet1515;7,66667;78,58333;2;0;7;274,08333
Pet1519;11,16667;82,08333;5;7;0;277,58333
VatS41-13;272,75;258;272,58333;274,08333;277,58333;0
