;Giunta;ModD4;Pet1505;Pet1515;Pet1519;VatS41-13
Giunta;0;29;5;7;6;233
ModD4;29;0;30;32;31;213
Pet1505;5;30;0;2;1;239
Pet1515;7;32;2;0;3;250
Pet1519;6;31;1;3;0;239
VatS41-13;233;213;239;250;239;0
;;;;;;
Giunta;0;26,125;4,89583;8,02083;5,08333;235,875
ModD4;26,125;0;30,85417;33,97917;31,04167;213
Pet1505;4,89583;30,85417;0;2;0,4375;240,60417
Pet1515;8,02083;33,97917;2;0;3,5625;243,72917
Pet1519;5,08333;31,04167;0,4375;3,5625;0;240,79167
VatS41-13;235,875;213;240,60417;243,72917;240,79167;0
